id,name,price,oldPrice,rentPrice,category,image,gallery,video,desc,stars,specs,inStock,promoEligible
1,YM 350,3000,3200,450,studio,https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/2025060617165969C379C73A0204C9_b.jpg,"[""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202506061717046AA969B2BE885D7F_b.jpg"",""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/2025060617171272C2B93DEC43C244_b.jpg"",""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/20250606171712BD60DD160467603F_b.jpg"",""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/20250606171714E28D623AD516B18A_b.jpg""]",,MODEL：YM350\n\nINPUTVOLTAGE：AC200-220V\n\nOUTPUT POWER：350W\n\nCRI：≥95\n\nCCT：2700-6500K\n\nPRODUCT WEIGHT：1560G\n\nPRODUCT SIZE：219.7*147*114.5MM\n\nLUMINOUS FLUX：18000LM / 26000LM\n\nNOISE：30dB\n\nBARE LAMP：6500LUX / /8800LUX\n\nLIGHT ANGLE：120°\n\nDIMMING：0-100%\n\nLAMP BODY COLOR：BLACK / WHITE,5,"[""OUTPUT POWER：350W"",""CCT：2700-6500K"",""High CRI 97+"",""LUMINOUS FLUX：18000LM / 26000LM""]",TRUE,FALSE
2,YB-300R,1000,1150,300,portable,https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202507261324366A68649B911A5220_b.jpg,"[""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202507261324366A68649B911A5220_b.jpg"",""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/2025072613243722508E20CE329007_b.jpg"",""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202507261324371D89EE7D5F4080C4_b.jpg"",""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202507261324397DA1435A93EE5128_b.jpg"",""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/2025072613243997E168E1EDCE8C76_b.jpg""]",,MODEL：YB-300R\n\nCHARGING PORT：DC Type-C\n\nINPUT VOLTAGE：20V 3A\n\nRGB SCENARIOS FX：14 Scenarios FX\n\nOUTPUT POWER：25w\n\nLED QUANTITY：192pcs\n\nCRI：95+\n\nPOWER SUPPLY：NP-F\n\nCCT：2700-7500K+200K\n\nFIXED INTERFACE：1/4' Screw interface\n\nLAMP BODY COLOR：BLACK\n\nDIMMING：0-100%\n\nPACKING LIST：YB-300R/BARNDOOR/LANYARD/USER MANUAL/PACKING BOX,5,"[""MODEL：YB-300R"",""RGB SCENARIOS FX：14 Scenarios FX"",""OUTPUT POWER：25w"",""CRI：95+"",""DIMMING：0-100%""]",TRUE,TRUE
6,YB-100R,1900,2300,350,portable,https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/20240319173149416DF92390F5C3A7_b.webp,"[""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202403191731497CF0CC0C3BB448BE_b.webp"",""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/20240319173149786514B671A66A78_b.webp"",""https://cdn-cloudflare.meidianbang.cn/comdata/69625/202403/202403191731112cdfa6.webp""]",1nhhbEWlkFs,Output power: 100 watts full brightness RGB 50 watts\n\nColor temperature: 2700-7500K\n\nColor rendering index: 90\n\nNumber of LED beads: 72 PCS white/warm 96 PCS RGB\n\nRGB color tone: 0-360 (full color)\n\nDimming brightness adjustment: 0-100%\n\nInput voltage: 19V=5A,5,"[""Output power: 100 watts full"",""Handheld"",""Battery"",""Color temperature: 2700-7500K"",""Color rendering index: 90""]",TRUE,FALSE
7,S100 W portable,1999,2500,300,portable,https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202410161549379C4705A19E57E8B5_b.jpg,"[""https://cdn-cloudflare.meidianbang.cn/comdata/69625/202410/202410161549185be597.jpg"",""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/2024101615494029C62ADDFF00F262_b.jpg""]",VhNBOGkg3k0,MODEL: S100\nLIFETIME: 50000 HOURS\nINPUT VOLTAGE: 200‑240V\nNUMBER OF LAMP BEADS: 1 PC\nOUTPUT POWER: 100W\nLUX AT 1 METER: 35801 LUX\nCRI: ≥96\nCCT: 2700‑6500K ±200K\nMATERIAL: METAL\nLAMP BODY COLOR: WHITE / BLUE\nPRODUCT WEIGHT: 367G\nDIMMING: 0‑100%,4.5,"[""100W"",""RGB"",""Compact"",""CRI: ≥96"",""DIMMING: 0‑100%"",""CCT: 2700‑6500K ±200K""]",TRUE,TRUE
1765907057061,Y300S,3200,4550,400,studio,https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/20240319171843802F1E3F22F87FE6_b.webp,"[""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/20240319171843802F1E3F22F87FE6_b.webp"",""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/2024031917184371CF14916732D228_b.webp""]",ERGuN3gjkIA,Y300S\n300W dual color temperature\n\nLuminous flux (ML): 33000\n\nColor temperature (K): 2700-6500\n\n1 meter illuminance (with standard cover) lux: 98000\n\n1 meter illuminance (bare light) lux: 10800\n\nInput voltage: 200-220v\n\nOutput power: 310w,5,"[""300W dual color temperature"",""Color rendering index: 97"",""Luminous flux (ML): 33000"",""Color temperature (K): 2700-6500""]",TRUE,FALSE
4,Panel P-500,1150,1350,100,accessories,https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/20240319170443F599C75DE4A68CC2_s.webp,"[""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/20240319170443F599C75DE4A68CC2_s.webp""]",,Panneau LED ultra-fin pour une lumière douce et diffuse. Idéal pour les interviews et le portrait.,4.7,"[""Soft Light"",""Bi-Color"",""Flat Panel"",""DMX""]",FALSE,
8,P-60S Spotlight,1380,1600,0,portable,https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202404231504205E97A1413D1D518E_s.jpg,"[""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202404231504205E97A1413D1D518E_s.jpg""]",,Spotlight focalisable pour un contrôle précis du faisceau. Parfait pour l'éclairage de cheveux ou les accents.,4.8,"[""Focusing"",""Bi-Color"",""Hair Light"",""Precision""]",FALSE,
3,BKL400Bi Bi-Color,2850,3350,0,studio,https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202401142024346AB820E8D8FB81D9_s.jpg,"[""https://cdn-cloudflare.meidianbang.cn/comdata/69625/product/202401142024346AB820E8D8FB81D9_s.jpg""]",,Polyvalence absolue avec température de couleur ajustable de 2700K à 6500K. Ventilateur silencieux pour la vidéo.,4.8,"[""400W"",""2700K-6500K"",""Silent Fan"",""Dual Power""]",FALSE,
