ID,Supabase Name,Focal,Aperture,Mount,Shopify Match Handle,Confidence
"1016","AF24mm F1.8 Nikon (Z Mount) - Black","24mm","F1.8","Z","af-24mm-f1-8-full-frame-lens-for-e","100%"
"1056","16mm T2.1 Sony (E Mount) - Titanium Gray","16mm","T2.1","E","","0%"
"1058","16mm T2.1 M43 (Panasonic Olympus) - Titanium Gray","16mm","T2.1","M43","","0%"
"1022","AF50mm F1.8 Sony (E Mount) - Black","50mm","F1.8","E","af-25-35-50mm-f1-8-aps-c-lens-for-e-fx-z","100%"
"1015","AF24mm F1.8 Sony (E Mount) - Black","24mm","F1.8","E","af-24mm-f1-8-full-frame-lens-for-e","100%"
"1053","16mm T2.1 Fuji (FX Mount) - Black","16mm","T2.1","FX","","0%"
"1008","AF35mm F1.4 Fuji (FX Mount) - Black","35mm","F1.4","FX","af-35mm-f1-4","100%"
"1021","AF40mm F2.5 Sony (E Mount) - Black","40mm","F2.5","E","af-40mm-f2-5-full-frame-lens-for-e-z-l","100%"
"1014","AF50mm F1.8 Nikon (Z Mount) APS-C - Black","50mm","F1.8","Z","af-25-35-50mm-f1-8-aps-c-lens-for-e-fx-z","100%"
"1054","16mm T2.1 M43 (Panasonic Olympus) - Black","16mm","T2.1","M43","","0%"
